elapsed_s,milestone,iters_compute,iters_wgpu,rss_kb,dmesg_amdgpu_delta,status
1,1s,750,0,4144,0,PASS
2,2s,1504,0,4144,0,PASS
4,4s,2994,0,4144,0,PASS
8,8s,5954,0,4144,0,PASS
16,16s,11097,0,4144,0,PASS
32,32s,22896,0,4144,0,PASS
60,1m,43461,0,4144,0,PASS
120,2m,87435,0,4144,0,PASS
240,4m,175255,0,4144,0,PASS
480,8m,350622,0,4144,0,PASS
960,16m,701705,0,4144,0,PASS
1920,32m,1401531,0,4144,0,PASS
3600,1h,2619159,0,4144,0,PASS
7200,2h,5222138,0,4144,0,PASS
14400,4h,10451719,0,4144,0,PASS
21600,6h,15664760,0,4144,0,PASS
