elapsed_s,milestone,iters_compute,iters_wgpu,iters_render,rss_kb,dmesg_amdgpu_delta,status
1,1s,605,28,456,13340,0,PASS
2,2s,1205,57,913,13340,0,PASS
4,4s,2359,113,1808,13340,0,PASS
8,8s,4696,222,3578,13340,0,PASS
16,16s,9276,441,7092,13340,0,PASS
32,32s,18550,877,14197,13340,0,PASS
60,1m,34879,1647,26752,13340,0,PASS
120,2m,70044,3298,53805,13340,0,PASS
240,4m,140826,6642,108318,13340,0,PASS
480,8m,282025,13310,217136,13340,0,PASS
960,16m,560839,26482,432322,13340,0,PASS
1920,32m,1122397,52958,864676,13340,0,PASS
3600,1h,2098692,99110,1617126,13340,0,PASS
4500,1h,2621931,123823,2020360,13340,0,PASS
5400,1h,3145292,148533,2424432,13340,0,PASS
6300,1h,3671900,173365,2829671,13340,0,PASS
7200,2h,4198787,198213,3235042,13340,0,PASS
8100,2h,4726323,223080,3640684,13340,0,PASS
9000,2h,5253059,247950,4045952,13340,0,PASS
9900,2h,5779679,272834,4451395,13340,0,PASS
10800,3h,6304089,297691,4855020,13340,0,PASS
11700,3h,6828349,322545,5258699,13340,0,PASS
12600,3h,7354486,347383,5663649,13340,0,PASS
13500,3h,7881294,372249,6069014,13340,0,PASS
14400,4h,8408783,397116,6474715,13340,0,PASS
15300,4h,8936126,422018,6880491,13340,0,PASS
16200,4h,9463097,446862,7285871,13340,0,PASS
17100,4h,9991080,471748,7692101,13340,0,PASS
18000,5h,10518354,496610,8097753,13340,0,PASS
18900,5h,11045562,521484,8503096,13340,0,PASS
19800,5h,11573006,546375,8908964,13340,0,PASS
20700,5h,12100212,571235,9314711,13340,0,PASS
21600,6h,12627795,596077,9720449,13340,0,PASS
22500,6h,13155465,620901,10126385,13340,0,PASS
23400,6h,13682936,645801,,13340,0,PASS
24300,6h,14209598,670650,10937519,13340,0,PASS
25200,7h,14735962,695513,11342539,13340,0,PASS
26100,7h,15263310,720379,11748350,13340,0,PASS
27000,7h,15790171,745265,12153933,13340,0,PASS
27900,7h,16317018,770101,12559572,13340,0,PASS
28800,8h,16844686,795012,12965695,13340,0,PASS
29700,8h,17372242,819859,13371643,13340,0,PASS
30600,8h,17899862,844747,13777783,13340,0,PASS
31500,8h,18427722,869633,14184275,13340,0,PASS
32400,9h,18954642,894500,14589952,13340,0,PASS
33300,9h,19481272,919348,14995415,13340,0,PASS
34200,9h,20008740,944245,15401349,13340,0,PASS
35100,9h,20537253,969157,15807796,13340,0,PASS
36000,10h,21064479,994051,16213298,13340,0,PASS
36900,10h,21591400,1018909,16618596,13340,0,PASS
37800,10h,22118834,1043810,17024444,13340,0,PASS
38700,10h,22646599,1068679,17430374,13340,0,PASS
39600,11h,23174135,1093594,17836261,13340,0,PASS
40500,11h,23701679,1118470,18242005,13340,0,PASS
41400,11h,24228953,1143351,18647578,13340,0,PASS
42300,11h,24756715,1168211,19053641,13340,0,PASS
43200,12h,25284086,1193065,19459366,13340,0,PASS
44100,12h,25811618,1217933,19865510,13340,0,PASS
45000,12h,26334208,1242630,20267768,13340,0,PASS
45900,12h,26859929,1267464,20671795,13340,0,PASS
46800,13h,27385301,1292277,21076394,13340,0,PASS
47700,13h,27907197,1316971,21478899,13340,0,PASS
48600,13h,28430316,1341725,21882234,13340,0,PASS
49500,13h,28957692,1366651,22288103,13340,0,PASS
50400,14h,29479621,1391284,22690545,13340,0,PASS
51300,14h,30002759,1415945,23093570,13340,0,PASS
52200,14h,30521053,1440535,23493979,13340,0,PASS
53100,14h,31042453,1465266,23896183,13340,0,PASS
54000,15h,31558686,1489768,24295061,13340,0,PASS
54900,15h,32074206,1514318,24694177,13340,0,PASS
55800,15h,32593484,1538980,25095295,13340,0,PASS
56700,15h,33108136,1563465,25493817,13340,0,PASS
57600,16h,33618873,1587723,25888575,13340,0,PASS
58500,16h,34136153,1612189,26288432,13340,0,PASS
59400,16h,34642899,1636329,26681335,13340,0,PASS
60300,16h,35149241,1660487,27074062,13340,0,PASS
61200,17h,35666931,1685025,27473730,13340,0,PASS
62100,17h,36185933,1709590,27874592,13340,0,PASS
