elapsed_s,milestone,iters_compute,iters_wgpu,iters_render,rss_kb,dmesg_amdgpu_delta,status
1,1s,579,28,452,12760,0,PASS
2,2s,1165,57,903,12760,0,PASS
4,4s,2289,115,1777,12760,0,PASS
8,8s,4539,228,3515,12760,0,PASS
16,16s,9008,452,6967,12760,0,PASS
32,32s,17386,873,13441,12760,0,PASS
60,1m,33058,1661,25534,12760,0,PASS
120,2m,66470,3334,51338,12760,0,PASS
240,4m,133336,6681,102943,12760,0,PASS
480,8m,266699,13383,205919,12760,0,PASS
960,16m,532744,26748,411685,12760,0,PASS
1920,32m,1067708,53605,823983,12760,0,PASS
3600,1h,2000814,100403,1544179,12760,0,PASS
4500,1h,2500537,125385,1930065,12760,0,PASS
5400,1h,3000093,150453,2315828,12760,0,PASS
6300,1h,3499847,175507,2701688,12760,0,PASS
7200,2h,3999104,200512,3087543,12760,0,PASS
8100,2h,4499405,225532,3473927,12760,0,PASS
9000,2h,4998222,250537,3859484,12760,0,PASS
9900,2h,5497791,275521,4245495,12760,0,PASS
10800,3h,6000113,300716,4632492,12760,0,PASS
11700,3h,6503354,325894,5020042,12760,0,PASS
12600,3h,7005576,351059,5407021,12760,0,PASS
13500,3h,7506983,376170,5793720,12760,0,PASS
14400,4h,8009276,401366,6180688,12760,0,PASS
15300,4h,8512030,426543,6567922,12760,0,PASS
16200,4h,9014871,451750,6955220,12760,0,PASS
17100,4h,9517319,476944,7342356,12760,0,PASS
18000,5h,10020675,502156,7730072,12760,0,PASS
18900,5h,10523097,527307,8117229,12760,0,PASS
19800,5h,11025343,552485,8503951,12760,0,PASS
20700,5h,11527973,577761,8891249,12760,0,PASS
21600,6h,12030710,602971,9278402,12760,0,PASS
