elapsed_s,milestone,iters_nvidia-compute,iters_nvidia-render,iters_nvidia-texture,rss_kb,dmesg_drm_delta,status
1,1s,26,25,25,13460,0,PASS
2,2s,65,65,61,13460,0,PASS
4,4s,138,139,132,13460,0,PASS
8,8s,282,282,266,13460,0,PASS
16,16s,577,574,535,13460,0,PASS
32,32s,1142,1146,1061,13460,0,PASS
60,1m,2113,2118,1967,13460,0,PASS
120,2m,4174,4167,3853,13460,0,PASS
240,4m,8330,8350,7696,13460,0,PASS
480,8m,16622,16664,15333,13460,0,PASS
960,16m,33360,33445,30776,13460,0,PASS
1920,32m,66950,67127,61770,13460,0,PASS
3600,1h,125302,125702,115651,13460,0,PASS
